epi_id,planting_date,end_dap,assessment_date_assumed
1,2012-10-18,80,2013-01-06
2,2012-11-09,80,2013-01-28
3,2012-10-17,80,2013-01-05
4,2013-01-04,80,2013-03-25
5,2013-01-22,80,2013-04-12
6,2012-11-13,80,2013-02-01
7,2012-11-07,80,2013-01-26
8,2012-11-10,80,2013-01-29
9,2013-10-13,80,2014-01-01
10,2013-10-18,80,2014-01-06
11,2013-10-14,80,2014-01-02
12,2013-10-07,80,2013-12-26
13,2013-11-01,80,2014-01-20
14,2013-11-11,80,2014-01-30
15,2013-10-24,80,2014-01-12
16,2013-12-12,80,2014-03-02
17,2013-12-12,80,2014-03-02
18,2013-12-20,80,2014-03-10
19,2014-02-01,80,2014-04-22
20,2014-01-31,80,2014-04-21
21,2013-10-18,80,2014-01-06
22,2013-09-19,80,2013-12-08
23,2013-09-09,80,2013-11-28
24,2013-12-12,80,2014-03-02
25,2014-10-22,80,2015-01-10
26,2014-10-24,80,2015-01-12
27,2014-10-27,80,2015-01-15
28,2014-10-03,80,2014-12-22
29,2014-10-08,80,2014-12-27
30,2014-10-22,80,2015-01-10
31,2014-10-25,80,2015-01-13
32,2014-09-08,80,2014-11-27
33,2014-10-28,80,2015-01-16
34,2014-12-03,80,2015-02-21
35,2014-09-16,80,2014-12-05
36,2014-10-23,80,2015-01-11
37,2014-10-21,80,2015-01-09
38,2014-10-23,80,2015-01-11
39,2014-12-20,80,2015-03-10
40,2014-12-20,80,2015-03-10
41,2014-12-03,80,2015-02-21
42,2015-10-29,80,2016-01-17
43,2015-10-28,80,2016-01-16
44,2015-11-03,80,2016-01-22
45,2015-11-11,80,2016-01-30
46,2015-11-27,80,2016-02-15
47,2015-10-24,80,2016-01-12
48,2015-10-29,80,2016-01-17
49,2015-10-28,80,2016-01-16
50,2015-12-16,80,2016-03-05
51,2015-11-20,80,2016-02-08
52,2015-10-24,80,2016-01-12
53,2015-10-18,80,2016-01-06
54,2015-11-30,80,2016-02-18
55,2015-11-26,80,2016-02-14
56,2016-10-13,80,2017-01-01
57,2016-10-15,80,2017-01-03
58,2016-10-20,80,2017-01-08
59,2016-11-13,80,2017-02-01
60,2016-09-19,80,2016-12-08
61,2016-10-08,80,2016-12-27
62,2016-10-22,80,2017-01-10
63,2016-10-24,80,2017-01-12
64,2016-09-29,80,2016-12-18
65,2016-10-11,80,2016-12-30
66,2016-12-02,80,2017-02-20
67,2016-11-04,80,2017-01-23
68,2016-11-15,80,2017-02-03
69,2016-10-26,80,2017-01-14
70,2016-10-18,80,2017-01-06
71,2016-10-19,80,2017-01-07
72,2016-11-12,80,2017-01-31
73,2016-11-28,80,2017-02-16
74,2016-10-21,80,2017-01-09
75,2017-10-28,80,2018-01-16
76,2017-10-23,80,2018-01-11
77,2017-10-18,80,2018-01-06
78,2017-10-14,80,2018-01-02
79,2017-10-25,80,2018-01-13
80,2017-10-21,80,2018-01-09
81,2017-10-18,80,2018-01-06
82,2017-10-10,80,2017-12-29
83,2017-09-17,80,2017-12-06
84,2017-10-09,80,2017-12-28
85,2017-10-23,80,2018-01-11
86,2017-10-20,80,2018-01-08
87,2017-10-31,80,2018-01-19
88,2017-10-23,80,2018-01-11
89,2017-10-20,80,2018-01-08
90,2017-10-03,80,2017-12-22
91,2017-11-17,80,2018-02-05
92,2017-11-30,80,2018-02-18
93,2017-11-17,80,2018-02-05
94,2018-10-04,80,2018-12-23
95,2018-10-24,80,2019-01-12
96,2018-10-09,80,2018-12-28
97,2018-11-19,80,2019-02-07
98,2018-10-30,80,2019-01-18
99,2018-11-09,80,2019-01-28
100,2018-11-15,80,2019-02-03
101,2018-11-12,80,2019-01-31
102,2018-10-17,80,2019-01-05
103,2018-10-11,80,2018-12-30
104,2018-10-10,80,2018-12-29
105,2018-10-18,80,2019-01-06
106,2018-10-19,80,2019-01-07
107,2018-10-12,80,2018-12-31
108,2018-10-17,80,2019-01-05
109,2018-11-29,80,2019-02-17
110,2018-11-15,80,2019-02-03
111,2018-12-15,80,2019-03-05
112,2018-10-16,80,2019-01-04
113,2018-10-18,80,2019-01-06
114,2018-10-26,80,2019-01-14
115,2018-11-24,80,2019-02-12
116,2019-10-20,80,2020-01-08
117,2019-10-17,80,2020-01-05
118,2019-10-18,80,2020-01-06
119,2019-10-15,80,2020-01-03
120,2019-10-15,80,2020-01-03
121,2019-10-17,80,2020-01-05
122,2019-10-11,80,2019-12-30
123,2019-10-14,80,2020-01-02
124,2019-11-06,80,2020-01-25
125,2019-10-21,80,2020-01-09
126,2019-10-15,80,2020-01-03
127,2019-10-19,80,2020-01-07
128,2019-10-21,80,2020-01-09
129,2019-10-15,80,2020-01-03
130,2019-11-28,80,2020-02-16
131,2019-11-30,80,2020-02-18
132,2019-11-09,80,2020-01-28
133,2019-12-02,80,2020-02-20
134,2019-11-08,80,2020-01-27
135,2020-10-19,80,2021-01-07
136,2020-10-24,80,2021-01-12
137,2020-10-26,80,2021-01-14
138,2020-11-13,80,2021-02-01
139,2020-10-21,80,2021-01-09
140,2020-10-31,80,2021-01-19
141,2020-10-15,80,2021-01-03
142,2020-10-14,80,2021-01-02
143,2020-10-24,80,2021-01-12
144,2020-10-22,80,2021-01-10
145,2020-11-17,80,2021-02-05
146,2020-10-20,80,2021-01-08
147,2020-11-08,80,2021-01-27
148,2020-10-23,80,2021-01-11
149,2020-10-23,80,2021-01-11
150,2020-10-29,80,2021-01-17
151,2020-11-25,80,2021-02-13
152,2020-11-10,80,2021-01-29
153,2020-11-07,80,2021-01-26
154,2020-11-06,80,2021-01-25
155,2021-10-14,80,2022-01-02
156,2021-10-22,80,2022-01-10
157,2021-10-21,80,2022-01-09
158,2021-10-19,80,2022-01-07
159,2021-10-20,80,2022-01-08
160,2021-10-21,80,2022-01-09
161,2021-11-05,80,2022-01-24
162,2021-10-27,80,2022-01-15
163,2021-10-28,80,2022-01-16
164,2021-11-16,80,2022-02-04
165,2021-11-06,80,2022-01-25
166,2021-11-04,80,2022-01-23
167,2021-10-15,80,2022-01-03
168,2021-10-22,80,2022-01-10
169,2021-10-30,80,2022-01-18
170,2021-10-22,80,2022-01-10
171,2021-10-09,80,2021-12-28
172,2021-11-08,80,2022-01-27
173,2022-10-22,80,2023-01-10
174,2022-10-13,80,2023-01-01
175,2022-10-13,80,2023-01-01
176,2022-10-29,80,2023-01-17
177,2022-10-18,80,2023-01-06
178,2022-10-22,80,2023-01-10
179,2022-11-01,80,2023-01-20
180,2022-10-14,80,2023-01-02
181,2022-10-22,80,2023-01-10
182,2022-10-27,80,2023-01-15
183,2022-11-03,80,2023-01-22
184,2022-10-19,80,2023-01-07
185,2022-10-17,80,2023-01-05
186,2022-11-04,80,2023-01-23
187,2022-10-24,80,2023-01-12
188,2022-10-19,80,2023-01-07
189,2022-10-24,80,2023-01-12
190,2022-11-08,80,2023-01-27
191,2022-11-15,80,2023-02-03
192,2022-10-19,80,2023-01-07
193,2022-10-26,80,2023-01-14
194,2023-10-14,80,2024-01-02
195,2023-10-28,80,2024-01-16
196,2023-10-28,80,2024-01-16
197,2023-11-02,80,2024-01-21
198,2023-10-22,80,2024-01-10
199,2023-10-28,80,2024-01-16
200,2023-09-25,80,2023-12-14
201,2023-10-26,80,2024-01-14
202,2023-10-26,80,2024-01-14
203,2023-10-19,80,2024-01-07
204,2023-11-13,80,2024-02-01
205,2023-10-27,80,2024-01-15
206,2023-10-27,80,2024-01-15
207,2023-10-24,80,2024-01-12
208,2023-10-28,80,2024-01-16
209,2023-10-25,80,2024-01-13
210,2023-11-01,80,2024-01-20
211,2023-11-30,80,2024-02-18
212,2023-10-16,80,2024-01-04
213,2023-11-07,80,2024-01-26
214,2023-10-31,80,2024-01-19
1,2012-10-18,85,2013-01-11
2,2012-11-09,85,2013-02-02
3,2012-10-17,85,2013-01-10
4,2013-01-04,85,2013-03-30
5,2013-01-22,85,2013-04-17
6,2012-11-13,85,2013-02-06
7,2012-11-07,85,2013-01-31
8,2012-11-10,85,2013-02-03
9,2013-10-13,85,2014-01-06
10,2013-10-18,85,2014-01-11
11,2013-10-14,85,2014-01-07
12,2013-10-07,85,2013-12-31
13,2013-11-01,85,2014-01-25
14,2013-11-11,85,2014-02-04
15,2013-10-24,85,2014-01-17
16,2013-12-12,85,2014-03-07
17,2013-12-12,85,2014-03-07
18,2013-12-20,85,2014-03-15
19,2014-02-01,85,2014-04-27
20,2014-01-31,85,2014-04-26
21,2013-10-18,85,2014-01-11
22,2013-09-19,85,2013-12-13
23,2013-09-09,85,2013-12-03
24,2013-12-12,85,2014-03-07
25,2014-10-22,85,2015-01-15
26,2014-10-24,85,2015-01-17
27,2014-10-27,85,2015-01-20
28,2014-10-03,85,2014-12-27
29,2014-10-08,85,2015-01-01
30,2014-10-22,85,2015-01-15
31,2014-10-25,85,2015-01-18
32,2014-09-08,85,2014-12-02
33,2014-10-28,85,2015-01-21
34,2014-12-03,85,2015-02-26
35,2014-09-16,85,2014-12-10
36,2014-10-23,85,2015-01-16
37,2014-10-21,85,2015-01-14
38,2014-10-23,85,2015-01-16
39,2014-12-20,85,2015-03-15
40,2014-12-20,85,2015-03-15
41,2014-12-03,85,2015-02-26
42,2015-10-29,85,2016-01-22
43,2015-10-28,85,2016-01-21
44,2015-11-03,85,2016-01-27
45,2015-11-11,85,2016-02-04
46,2015-11-27,85,2016-02-20
47,2015-10-24,85,2016-01-17
48,2015-10-29,85,2016-01-22
49,2015-10-28,85,2016-01-21
50,2015-12-16,85,2016-03-10
51,2015-11-20,85,2016-02-13
52,2015-10-24,85,2016-01-17
53,2015-10-18,85,2016-01-11
54,2015-11-30,85,2016-02-23
55,2015-11-26,85,2016-02-19
56,2016-10-13,85,2017-01-06
57,2016-10-15,85,2017-01-08
