epi_id,study,year,location,state,lat,lon,lat_r,lon_r,planting_date,assessment_date_obs,sev_pct,sev,sev_beta,has_sev,has_weather,siteyear
1,1,2013,Campo Verde,MT,-15.55,-55.17,-15.55,-55.17,2012-10-18,,40.0,0.4,0.4004672897196262,True,True,Campo Verde_MT_2013
2,3,2013,Deciolândia,MT,-14.18,-57.5,-14.18,-57.5,2012-11-09,,48.5,0.485,0.4850700934579439,True,True,Deciolândia_MT_2013
3,5,2013,Rio Verde,GO,-17.79,-50.91,-17.79,-50.91,2012-10-17,,41.13,0.4113,0.4117144859813084,True,True,Rio Verde_GO_2013
4,8,2013,Palmeira,PR,-25.43,-49.99,-25.43,-49.99,2013-01-04,,45.68,0.4568,0.4570018691588785,True,True,Palmeira_PR_2013
5,9,2013,Porangatu,GO,-13.43,-49.14,-13.43,-49.14,2013-01-22,,29.5,0.295,0.2959579439252336,True,True,Porangatu_GO_2013
6,10,2013,Planaltina,DF,-15.48,-47.63,-15.48,-47.63,2012-11-13,,26.5,0.265,0.2660981308411215,True,True,Planaltina_DF_2013
7,11,2013,Uberlândia,MG,-18.91,-48.26,-18.91,-48.26,2012-11-07,,46.25,0.4625,0.46267523364485985,True,True,Uberlândia_MG_2013
8,12,2013,Nova Xavantina,MT,-14.67,-52.35,-14.67,-52.35,2012-11-10,,22.25,0.2225,0.22379672897196262,True,True,Nova Xavantina_MT_2013
9,1,2014,Chapadão do Sul,MS,-18.79,-52.61,-18.79,-52.61,2013-10-13,,28.13,0.2813,0.2823219626168224,True,True,Chapadão do Sul_MS_2014
10,2,2014,Campo Verde,MT,-15.55,-55.17,-15.55,-55.17,2013-10-18,,51.25,0.5125,0.5124415887850468,True,True,Campo Verde_MT_2014
11,3,2014,Primavera do Leste,MT,-15.55,-54.29,-15.55,-54.29,2013-10-14,,6.75,0.0675,0.06952102803738318,True,True,Primavera do Leste_MT_2014
12,4,2014,Sorriso,MT,-12.54,-55.72,-12.54,-55.72,2013-10-07,,22.5,0.225,0.22628504672897198,True,True,Sorriso_MT_2014
13,5,2014,Rio Verde,GO,-17.79,-50.91,-17.79,-50.91,2013-11-01,,18.5,0.185,0.18647196261682245,True,True,Rio Verde_GO_2014
14,6,2014,Deciolândia,MT,-14.18,-57.5,-14.18,-57.5,2013-11-11,,33.25,0.3325,0.3332827102803739,True,True,Deciolândia_MT_2014
15,7,2014,Maracaju,MS,-21.62,-55.16,-21.62,-55.16,2013-10-24,,7.78,0.07780000000000001,0.07977289719626168,True,True,Maracaju_MS_2014
16,8,2014,Porangatu,GO,-13.43,-49.14,-13.43,-49.14,2013-12-12,,12.48,0.12480000000000001,0.1265532710280374,True,True,Porangatu_GO_2014
17,9,2014,Porangatu,GO,-13.43,-49.14,-13.43,-49.14,2013-12-12,2024-10-20,20.1,0.201,0.20239719626168226,True,True,Porangatu_GO_2014
18,10,2014,Porto Nacional,TO,-10.7,-48.41,-10.7,-48.41,2013-12-20,,41.05,0.4105,0.4109182242990654,True,True,Porto Nacional_TO_2014
19,11,2014,Querência,MT,-12.57,-52.21,-12.57,-52.21,2014-02-01,,11.0,0.11,0.11182242990654205,True,True,Querência_MT_2014
20,12,2014,Nova Xavantina,MT,-14.67,-52.35,-14.67,-52.35,2014-01-31,,18.0,0.18,0.18149532710280372,True,True,Nova Xavantina_MT_2014
21,13,2014,Londrina,PR,-23.29,-51.17,-23.29,-51.17,2013-10-18,,14.5,0.145,0.14665887850467288,True,True,Londrina_PR_2014
22,14,2014,Rio Verde,GO,-17.79,-50.91,-17.79,-50.91,2013-09-19,,24.75,0.2475,0.24867990654205607,True,True,Rio Verde_GO_2014
23,15,2014,Brasília,DF,-15.78,-47.92,-15.78,-47.92,2013-09-09,,12.38,0.12380000000000001,0.12555794392523364,True,True,Brasília_DF_2014
24,16,2014,Palmeira,PR,-25.43,-49.99,-25.43,-49.99,2013-12-12,,29.35,0.29350000000000004,0.29446495327102806,True,True,Palmeira_PR_2014
25,1,2015,Chapadão do Sul,MS,-18.79,-52.61,-18.79,-52.61,2014-10-22,,17.0,0.17,0.17154205607476636,True,True,Chapadão do Sul_MS_2015
26,2,2015,Lucas do Rio Verde,MT,-13.07,-55.9,-13.07,-55.9,2014-10-24,,36.25,0.3625,0.36314252336448594,True,True,Lucas do Rio Verde_MT_2015
27,3,2015,Londrina,PR,-23.29,-51.17,-23.29,-51.17,2014-10-27,,6.5,0.065,0.06703271028037383,True,True,Londrina_PR_2015
28,4,2015,Maracaju,MS,-21.62,-55.16,-21.62,-55.16,2014-10-03,,17.75,0.1775,0.1790070093457944,True,True,Maracaju_MS_2015
29,5,2015,São Gabriel do Oeste,MS,-19.39,-54.57,-19.39,-54.57,2014-10-08,,31.0,0.31,0.31088785046728973,True,True,São Gabriel do Oeste_MS_2015
30,6,2015,Rio Verde,GO,-17.79,-50.91,-17.79,-50.91,2014-10-22,,14.0,0.14,0.1416822429906542,True,True,Rio Verde_GO_2015
31,7,2015,Rio Verde,GO,-17.79,-50.91,-17.79,-50.91,2014-10-25,,20.63,0.20629999999999998,0.20767242990654203,True,True,Rio Verde_GO_2015
